description,category,source,notes
PARKING.SG BILL_772A19,Transport,manual,parking.sg
PARKING.SG BILL_B745E0,Transport,manual,parking.sg
PARKING.SG BILL_C2C6FB,Transport,manual,parking.sg
PARKING.SGBILL_2D13E7,Transport,manual,parking.sg
PARKING.SGBILL_6E9F31,Transport,manual,parking.sg
PARKING.SGBILL_B5FA68,Transport,manual,parking.sg
PARKING.SGBILL_B77D76,Transport,manual,parking.sg
PEH- BUSINESS OFFICE,Health,manual,Parkway East Hospital
PHYSIO DOWN UNDER PTE L,Health,manual,physiotherapy clinic
PSSDESARU JOHOR,Transport,manual,petrol station Malaysia
PSSJALANSTOREY JOHORBAHRU,Transport,manual,petrol station Malaysia
PSSKM305PLUSARAHS SELANGOR,Transport,manual,petrol station Malaysia
SAIZERIYA SINGAPORE,Food,manual,Saizeriya Italian restaurant
SGHAWKER-I12KATONG,Food,manual,SG Hawker I12 Katong
SHOPEE SINGAPORE Shopee,Shopping,manual,Shopee e-commerce
SINGAPOREAIR SINGAPORE,Transport,manual,Singapore Airlines
SMP-MOONATHAIKITCHEN,Food,manual,Moona Thai Kitchen restaurant
SOJTC PTE,Health,manual,orthopedic clinic
SOLACESTUDIOS,Entertainment,manual,photobooth studio
SP DIGITAL PTE. LTD. SINGAPORE,Utilities,manual,SP Group electricity/utilities
ShopBackHawkersStr,Food,manual,ShopBack hawker cashback
ShopBackRBTeaPark,Food,manual,ShopBack RB Tea Park cashback
Singapore Airlines L EG Singapore,Transport,manual,Singapore Airlines
THEBULLION,Food,manual,The Bullion hawker bar
UNION GAS CNERGY - DUNM,Utilities,manual,gas utility
UNIQLO (SINGAPORE) PTE.,Shopping,manual,Uniqlo clothing
WATSON'S PERSONAL CARE,Health,manual,Watsons pharmacy/health
YOCHI ASIA PTE,Food,manual,Yochi frozen yoghurt
AMOY STREET FC,Food,synthetic,hawker centre
LIAO FAN HONG KONG,Food,synthetic,restaurant
NAKHON KITCHEN SG,Food,synthetic,thai restaurant
BOON TONG KEE SG,Food,synthetic,chicken rice
CHATTERBOX HOTEL SG,Food,synthetic,hotel restaurant
JUMBO SEAFOOD SG,Food,synthetic,seafood restaurant
LONG BEACH SEAFOOD,Food,synthetic,seafood restaurant
NO SIGNBOARD SEAFOOD,Food,synthetic,seafood restaurant
MELLBEN SEAFOOD SG,Food,synthetic,seafood restaurant
SWEE CHOON SG,Food,synthetic,dim sum
LIAN HE BEN JI SG,Food,synthetic,wanton mee
TIAN TIAN CHICKEN,Food,synthetic,chicken rice maxwell
SINAR PAGI SG,Food,synthetic,nasi padang
HJMAIMUNAH REST SG,Food,synthetic,malay food
ZAMZAM RESTAURANT SG,Food,synthetic,indian muslim
SPRINGLEAF PRATA SG,Food,synthetic,prata
THE ROTI PRATA HOUSE,Food,synthetic,prata
PRATA WOK SG,Food,synthetic,prata
COLD STORAGE AMK,Groceries,synthetic,supermarket
COLD STORAGE BEDOK,Groceries,synthetic,supermarket
COLD STORAGE BUONA,Groceries,synthetic,supermarket
GIANT TAMPINES,Groceries,synthetic,supermarket
GIANT AMK,Groceries,synthetic,supermarket
SHENG SIONG ONLINE,Groceries,synthetic,online groceries
REDMART PTE LTD,Groceries,synthetic,online groceries
HAOMART SG,Groceries,synthetic,supermarket
MEIDI-YA LIANG COURT,Groceries,synthetic,japanese supermarket
DONKI GROCERY SG,Groceries,synthetic,japanese supermarket
LITTLE FARMS SG,Groceries,synthetic,organic grocery
RYAN S GROCERY SG,Groceries,synthetic,organic grocery
MARKETPLACE TANGLIN,Groceries,synthetic,premium supermarket
FINEST HOLLAND V,Groceries,synthetic,fairprice finest
NTUC FP - CLEMENTI,Groceries,synthetic,supermarket
NTUC FP - BISHAN,Groceries,synthetic,supermarket
GRAB*R-ORCHARD,Transport,synthetic,grab ride
GRAB*R-BEDOK,Transport,synthetic,grab ride
GOJEK*RIDE BEDOK,Transport,synthetic,gojek ride
GOJEK*RIDE JURONG,Transport,synthetic,gojek ride
COMFORT TAXI SG,Transport,synthetic,taxi
CITYCAB SG,Transport,synthetic,taxi
BUS/MRT111222333,Transport,synthetic,public transport
BUS/MRT444555666,Transport,synthetic,public transport
EZ-LINK TOPUP AMK,Transport,synthetic,ez-link top up
EZ-LINK TOPUP BEDOK,Transport,synthetic,ez-link top up
PARKING.SG BILL_AA1234,Transport,synthetic,parking
WILSON PARKING AMK,Transport,synthetic,parking
CALTEX AMK,Transport,synthetic,petrol
SHELL BEDOK,Transport,synthetic,petrol
SPC TAMPINES,Transport,synthetic,petrol
SCOOT AIRLINES SG,Transport,synthetic,flight
GOLDEN VILLAGE JURONG,Entertainment,synthetic,cinema
GV VIVOCITY,Entertainment,synthetic,cinema
SHAW LIDO SG,Entertainment,synthetic,cinema
CATHAY AMK HUB,Entertainment,synthetic,cinema
KLOOK ACTIVITIES SG,Entertainment,synthetic,activities booking
SISTIC TICKETS SG,Entertainment,synthetic,event tickets
ESCAPE THEME PARK,Entertainment,synthetic,theme park
TIMEZONE VIVOCITY,Entertainment,synthetic,arcade
VIRTUALAND JURONG,Entertainment,synthetic,arcade
SPORTS HUB KALLANG,Entertainment,synthetic,sports venue
KALLANG ICE WORLD,Entertainment,synthetic,ice skating
SAFRA JURONG SG,Entertainment,synthetic,recreational club
SAFRA TOAPAYOH SG,Entertainment,synthetic,recreational club
SINGAPORE POOLS SG,Entertainment,synthetic,betting
4D SINGAPORE POOLS,Entertainment,synthetic,lottery
NETFLIX.COM,Subscriptions,synthetic,streaming
SPOTIFY AB SG,Subscriptions,synthetic,music streaming
HBO GO SG,Subscriptions,synthetic,streaming
VIU PREMIUM SG,Subscriptions,synthetic,streaming
YOUTUBE PREMIUM,Subscriptions,synthetic,youtube subscription
APPLE ONE SG,Subscriptions,synthetic,apple bundle
ICLOUD+ SG,Subscriptions,synthetic,cloud storage
GOOGLE ONE SG,Subscriptions,synthetic,cloud storage
SINGTEL MOBILE SG,Subscriptions,synthetic,mobile plan
STARHUB MOBILE SG,Subscriptions,synthetic,mobile plan
CIRCLES.LIFE SG,Subscriptions,synthetic,mobile plan
GIGA! MOBILE SG,Subscriptions,synthetic,mobile plan
CANVA PRO SG,Subscriptions,synthetic,design tool
NOTION PRO SG,Subscriptions,synthetic,productivity tool
CHATGPT PLUS SG,Subscriptions,synthetic,AI subscription
LINKEDIN PREMIUM SG,Subscriptions,synthetic,professional network
NYT DIGITAL SG,Subscriptions,synthetic,news subscription
SP GROUP SG,Utilities,synthetic,electricity
GENECO ELECTRIC SG,Utilities,synthetic,electricity retailer
SINGTEL FIBRE SG,Utilities,synthetic,internet
STARHUB FIBRE SG,Utilities,synthetic,internet
M1 FIBRE SG,Utilities,synthetic,internet
VIEWQUEST SG,Utilities,synthetic,internet
MYREPUBLIC SG,Utilities,synthetic,internet
HDB CONSERVANCY SG,Utilities,synthetic,town council fee
TOWN COUNCIL SG,Utilities,synthetic,town council fee
AXS BILL PAYMENT,Utilities,synthetic,bill payment
SAM BILL PAYMENT SG,Utilities,synthetic,bill payment
DHL EXPRESS SG,Others,synthetic,courier
NTUC INCOME INS,Others,synthetic,insurance
AIA SINGAPORE INS,Others,synthetic,insurance
PRUDENTIAL SG INS,Others,synthetic,insurance
PAYLAH TRANSFER SG,Others,synthetic,bank transfer
GRABPAY WALLET SG,Others,synthetic,ewallet
CHARITY DONATION SG,Others,synthetic,donation
COMMUNITY CHEST SG,Others,synthetic,charity
NLB SINGAPORE,Others,synthetic,library fee
NPARKS SG,Others,synthetic,government service
SLA SINGAPORE,Others,synthetic,government service
ICA SINGAPORE,Others,synthetic,government service
MOE SINGAPORE,Others,synthetic,education
SPEEDOC SG,Health,synthetic,telemedicine
HOMAGE SG,Health,synthetic,home care
Q&M DENTAL BEDOK,Health,synthetic,dental
NANYANG OPTICAL SG,Health,synthetic,optical
POLYCLINIC BEDOK,Health,synthetic,polyclinic
NHGP POLYCLINIC SG,Health,synthetic,polyclinic
PHYSIOCLINIC SG,Health,synthetic,physiotherapy
SINGAPORE PHYSIO,Health,synthetic,physiotherapy
UNIHEALTH CLINIC SG,Health,synthetic,medical clinic
SHOPEE*SELLER SG,Shopping,synthetic,online marketplace
LAZADA*SELLER SG,Shopping,synthetic,online marketplace
QMART SG,Shopping,synthetic,online shopping
ZALORA SG PTE LTD,Shopping,synthetic,fashion
LOVEBONITO SG,Shopping,synthetic,fashion
POMELO FASHION SG,Shopping,synthetic,fashion
UNIQLO ION SG,Shopping,synthetic,clothing
UNIQLO BUGIS SG,Shopping,synthetic,clothing
H&M VIVOCITY SG,Shopping,synthetic,clothing
ZARA ION SG,Shopping,synthetic,clothing
COURTS TAMPINES SG,Shopping,synthetic,electronics
APPLE STORE ION SG,Shopping,synthetic,electronics
SAMSUNG EXPERIENCE,Shopping,synthetic,electronics
SEPHORA ION SG,Shopping,synthetic,beauty
WATSONS BEDOK SG,Shopping,synthetic,health and beauty
GUARDIAN AMK SG,Shopping,synthetic,health and beauty
SP DIGITAL PTE LTD SINGAPORE,Utilities,synthetic,electricity
SP SERVICES SINGAPORE,Utilities,synthetic,electricity and water
SP GROUP PTE LTD,Utilities,synthetic,electricity
PUB BOARD SG,Utilities,synthetic,water bill
PUB-SINGAPORE,Utilities,synthetic,water bill
PUBSINGAPORE,Utilities,synthetic,water bill
CITYGAS PTE LTD SINGAPORE,Utilities,synthetic,gas
CITY GAS PTE LTD,Utilities,synthetic,gas
UNION GAS SINGAPORE,Utilities,synthetic,gas
GENECO PTE LTD SINGAPORE,Utilities,synthetic,electricity retailer
KEPPEL ELECTRIC PTE LTD,Utilities,synthetic,electricity retailer
SEMBCORP POWER PTE LTD,Utilities,synthetic,electricity retailer
SENOKO ENERGY PTE LTD,Utilities,synthetic,electricity retailer
SINGTEL BROADBAND SG,Utilities,synthetic,internet
SINGTEL FIBRE BROADBAND,Utilities,synthetic,internet
STARHUB BROADBAND SG,Utilities,synthetic,internet
STARHUB CABLE TV SG,Utilities,synthetic,cable tv
M1 BROADBAND SG,Utilities,synthetic,internet
MYREPUBLIC PTE LTD,Utilities,synthetic,internet
VIEWQWEST PTE LTD,Utilities,synthetic,internet
HDB TOWN COUNCIL SG,Utilities,synthetic,town council
BISHAN TOWN COUNCIL,Utilities,synthetic,town council
TAMPINES TOWN COUNCIL,Utilities,synthetic,town council
BEDOK TOWN COUNCIL,Utilities,synthetic,town council
AXS*BILL PAYMENT SG,Utilities,synthetic,bill payment
AXS STATION PAYMENT,Utilities,synthetic,bill payment
SAM*BILL PAYMENT SG,Utilities,synthetic,bill payment
ENETS BILL PAYMENT,Utilities,synthetic,bill payment
ENETS*BILL SG,Utilities,synthetic,bill payment
ENETS*AMEX SG,Utilities,synthetic,bill payment
SINGAPORE POWER SVC,Utilities,synthetic,electricity
STARHUB LTD SG,Utilities,synthetic,utilities
GV*GOLDEN VILLAGE SG,Entertainment,synthetic,cinema
GOLDEN VILLAGE TAMPINES,Entertainment,synthetic,cinema
GOLDEN VILLAGE BEDOK,Entertainment,synthetic,cinema
GOLDEN VILLAGE PLAZA,Entertainment,synthetic,cinema
GV BISHAN SG,Entertainment,synthetic,cinema
SHAW*THEATRES SG,Entertainment,synthetic,cinema
SHAW THEATRES JURONG,Entertainment,synthetic,cinema
SHAW THEATRES BEDOK,Entertainment,synthetic,cinema
CATHAY*CINEPLEXES SG,Entertainment,synthetic,cinema
CATHAY CINEPLEXES JEM,Entertainment,synthetic,cinema
FILMGARDE BUGIS SG,Entertainment,synthetic,cinema
WE CINEMA JURONG,Entertainment,synthetic,cinema
SISTIC*TICKETS SG,Entertainment,synthetic,tickets
SISTIC COM PTE LTD,Entertainment,synthetic,tickets
KLOOK*ACTIVITIES SG,Entertainment,synthetic,activities
KLOOK PTE LTD SG,Entertainment,synthetic,activities
KKDAY*BOOKING SG,Entertainment,synthetic,activities
TICKETMASTER*SG,Entertainment,synthetic,tickets
SINGAPORE ZOO SG,Entertainment,synthetic,attraction
MANDAI WILDLIFE SG,Entertainment,synthetic,attraction
MANDAI NATURE SG,Entertainment,synthetic,attraction
RWS*SENTOSA SG,Entertainment,synthetic,resort world
RESORTS WORLD SG,Entertainment,synthetic,resort world
UNIVERSAL STUDIOS SGP,Entertainment,synthetic,theme park
USS SINGAPORE,Entertainment,synthetic,theme park
SENTOSA*ISLAND SG,Entertainment,synthetic,sentosa
SENTOSA DEVELOPMENT,Entertainment,synthetic,sentosa
TIMEZONE*SINGAPORE,Entertainment,synthetic,arcade
TIMEZONE AMK HUB,Entertainment,synthetic,arcade
VIRTUALAND*SG,Entertainment,synthetic,arcade
SAFRA*MEMBERSHIP SG,Entertainment,synthetic,club membership
SAFRA CLUBHOUSE SG,Entertainment,synthetic,club membership
SINGAPORE POOLS*SG,Entertainment,synthetic,betting
SINGAPORE POOLS BET,Entertainment,synthetic,betting
SPORTS HUB*SG,Entertainment,synthetic,sports venue
SINGAPORE SPORTS HUB,Entertainment,synthetic,sports venue
KALLANG*WAVE SG,Entertainment,synthetic,sports venue
ESCAPE*THEME PARK SG,Entertainment,synthetic,theme park
ADVENTURE COVE SG,Entertainment,synthetic,water park
WAVE HOUSE*SENTOSA,Entertainment,synthetic,water park
LASER QUEST*SG,Entertainment,synthetic,laser tag
NERF*ACTION SG,Entertainment,synthetic,games
NEOPRINT*STUDIO SG,Entertainment,synthetic,photo booth
MYPHOTOLAB*SG,Entertainment,synthetic,photo
PHOTOBOOTH*SG,Entertainment,synthetic,photo booth
